,id,headlines,ChanceOfVirality
0,0,Need to give importance to economy and also battle Covid-19: PM Modi to CMs,2
1,1,"Mint Covid Tracker: Despite slowing trajectory, India’s case count could reach 50,000 in eight days",2
2,2,‘Won’t lose a single rupee’: Govt clarifies after cancelling Chinese Covid-19 test kits,1
3,3,Will North Korea Get its 'First Female Dictator'? Twitter is Obsessing Over Kim Jong Un's Sister,1
4,4,"Coronavirus Pandemic LIVE Updates: 1,436 Cases, 60 Deaths Reported in Last 24 Hours, Says Govt",4
5,5,An Expert Explains: What is the future of migration from Kerala?,1
6,6,"6,184 or 22.17% COVID-19 patients have recovered: Health ministry",1
7,7,Anantnag braces for Covid-19 spurt as pregnant woman tests positive after death,2
8,8,Congress targets Centre over antibody test kits being purchased at higher prices,1
9,9,Over 80% wheat crop harvested: MHA,0
10,10,China’s Wuhan city discharges last COVID-19 patient from hospital,2
11,11,Australia rejects Chinese 'economic coercion' threat amid planned coronavirus probe,2
12,12,Saudi Arabia ends death penalty for minors and floggings,0
13,13,Coronavirus Outbreak LIVE Updates: Five more COVID-19 deaths take Pune's toll to 77; Modi likely to discuss graded lockdown exit with CMs,7
14,14,Coronavirus: What mutual fund investors should know amid rising credit risks,4
15,15,"Taking Stock: Cooling off after highs! Nifty holds 9,250 as RBI announces lifeline for MFs",2
16,16,Reliance begins using WhatsApp for grocery deliveries through JioMart,0
17,17,"IndusInd Bank reports Q4FY20 net profit at Rs 360.10, NII at Rs 3,231.2 crore",0
18,18,Unreleased Realme smartphone leaks in live images - GSMArena.com news,2
19,19,Apple to delay mass production of 2020 flagship iPhones: WSJ,1
20,20,The Apple Watch saved my life...,2
21,21,"Call Of Duty Mobile Update: New 'Rust' Map, 'Kill Confirmed' Mode & More",2
22,22,Dulquer Salmaan apologises for ‘Prabhakara’ joke in ‘Varane Avashyamund’,0
23,23,"After Hina Khan, Rashami Desai grooves to Jacqueline Fernandez’s Genda Phool, gets praise from Shefali...",0
24,24,Kanika Kapoor spends time with family in Lucknow after recovering from Covid-19. See pic,5
25,25,"Alia Bhatt Keeps in Touch with Her Friends Amid Lockdown, See Pic",2
26,26,‘If you fumble a ball...’: KL Rahul opens up about comparisons with MS Dhoni,1
27,27,Umar Akmal banned for 3 years from all forms by PCB Disciplinary Panel on corruption charges,2
28,28,Have seen many decent players who become something else on social media: Yuvraj Singh,7
29,29,"Lockdown has made me more dedicated and taught me that we can survive without eating outside, Hima Das te",4
30,30,Scientists Have Officially Declared This the Most Dangerous Place on Earth,2
31,31,Venus will shine at its brightest in the night sky this week,2
32,32,Scientists Develop First Comprehensive Map of the Moon's Surface,2
33,33,Hubble celebrates its 30th anniversary with a tapestry of blazing starbirth,0
34,34,How and when to eat cucumber to lose weight,0
35,35,Coronavirus: How India will play a major role in a Covid-19 vaccine,4
36,36,"Deadlier L Type Coronavirus Strain Could be Behind High Death Rate in Gujarat and Indore, Say Experts",2
37,37,These 5 morning habits may be causing you to gain weight,0
38,38,"Coronavirus pandemic | Lockdown will continue post-May 3 in COVID-19 hotspots, PM Modi tells chief ministers",4
39,39,Government mulls proposal to guarantee up to Rs 3 lakh crore bank loans to small businesses: Report,0
40,40,Covid-19 lockdown: India should open up now,3
41,41,"India Always Knew Spitting in Public is Wrong, Now is the Best Time to Ensure We Don't: PM Modi",8
42,42,"Coronavirus live updates: 28,380 total cases in India, 6,362 cured & death toll at 886, according to health ministry",3
43,43,"Coronavirus India News LIVE Updates: Total number of COVID-19 cases in India rise to 28,380, including 886 deaths",6
44,44,"1,975 new Covid-19 cases, 47 deaths in India in last 24 hours: 10 things to know",8
45,45,Highest single-day increase in Covid-19 cases,3
46,46,"Indian Council of Medical Research (ICMR): 'Don't use China kits, Return them back'",0
47,47,India Overpaid For Chinese COVID-19 Test Kits? What Court Case Reveals,1
48,48,Govt tells states to not use rapid kits for now,1
49,49,Delhi High Court caps imported antibody kit price at Rs. 400,0
50,50,Kim Jong Un ‘alive and well’: Seoul,0
51,51,Where is Kim Jong-un?,1
52,52,North Korea's Kim Jong Un 'alive and well': Seoul,0
53,53,Kim Jong-un successor: Will North Korea see a woman ruler? Here’s the top contender,3
54,54,Kolkata lockdown news: Today's updates from your city,3
55,55,"In times of job cuts, strategic groups are busy recruiting for 2021 Bengal election",1
56,56,"West Bengal CM Mamata Banerjee Says, She Is In Favour Of Extending Lockdown Till May 21",1
57,57,BJP Leaders Stage Sit-In Protests Against Bengal's COVID-19 Handling,1
58,58,Guard At Harsh Vardhan's Staff Office At AIIMS COVID-19 +ve: Report,1
59,59,"Our fight is against the disease, not the diseased': MoHFW urges public to not stigmatise COVID-19 patients",1
60,60,Covid-19 hotspot districts moving towards being non-hotspot districts: Health minister,2
61,61,"Trace, test, isolate, treat will remain our strategy: Union health min Harsh Vardhan",0
62,62,"Dead J&K Woman's Samples Return COVID-19 +ve, Probe Into Body Handling",2
63,63,"Pregnant Woman Dies in Anantnag Hospital, Inquiry Ordered",2
64,64,"Pregnant J&K Woman From COVID-19 Red Zone Dies In Hospital, Probe Ordered",3
65,65,"ICMR agreed to pay 2.5 times the price for rapid test kits, Delhi HC judgment shows",1
66,66,Coronavirus | Delhi HC asks to cap the price of COVID-19 test kits,3
67,67,Delhi HC puts Rs 400 cap on rapid testing kits from China,0
68,68,Delhi HC says Covid-19 testing kits should be sold at lowest cost possible,2
69,69,Covid-19 cases in Wuhan hospitals drop to zero for 1st time,4
70,70,First pandemic epicentre Wuhan discharges its last Covid patient from hospital,3
71,71,Did SARS-CoV-2 begin from a lab?,0
72,72,Does China have a case to answer on Covid-19?,1
73,73,China threatens to boycott Australian beef and wine; Here’s why,2
74,74,"In a testy post-Covid-19 world, Chinese sanctions of Australian goods may be closer than ever",4
75,75,"Australia, Backing Virus Probe, Slams China's ""Economic Coercion"" Threat",1
76,76,Australia rejects Chinese ‘economic coercion’ threat amid planned coronavirus probe,2
77,77,"Hajj Cancellation Won't be the First – Plague, War and Politics Disrupted Pilgrimages Long Before Coron...",1
