,id,headlines,ChanceOfVirality
0,0,Need to give importance to economy and also battle Covid-19: PM Modi to CMs,2
1,1,"Coronavirus update: India's Covid-19 count crosses 28,000-mark, death toll at 886. State-wise tally here",4
2,2,‘Won’t lose a single rupee’: Govt clarifies after cancelling Chinese Covid-19 test kits,1
3,3,"Coronavirus Pandemic LIVE Updates: India Cases Rise to 27, 892, Death Toll at 872; Lockdown Exit Strategy on Agenda as PM Modi Speaks to CMs Today",5
4,4,Man who tested positive for COVID-19 kills self in Bengaluru,2
5,5,‘Shame and disgust’: Rahul Gandhi amid row over cost of Covid-19 test kits,1
6,6,"No Need for Migrants to Go Back to Hometown, Centre Tells SC, Warns of Serious Health Hazard",1
7,7,Delhi High Court orders to cap the price of coronavirus COVID-19 test kits at Rs 400,3
8,8,Nitish Kumar says no to getting students back from Kota. Then explains,0
9,9,"47 new coronavirus reported from Chennai, 570 cases in city till now",5
10,10,Will North Korea Get its 'First Female Dictator'? Twitter is Obsessing Over Kim Jong Un's Sister,1
11,11,Will US-Taliban deal limit India's leverage in Afghanistan?,1
12,12,UN say pandemic may cause 'human rights disaster': Live updates,2
13,13,Saudi Arabia ends death penalty for minors,0
14,14,Slideshow | Gainers & Losers: 10 stocks that moved the most on April 27,1
15,15,Sensex rises 400 points. Key triggers that moved market direction today,1
16,16,Reliance begins using WhatsApp for grocery deliveries through JioMart,0
17,17,IndusInd Bank Q4: Profit falls 77% to Rs 302 cr QoQ as provisions spike 134%,0
18,18,Mysterious Realme phone’s live image surfaces online; shows Reno-like rear design,1
19,19,"Call Of Duty Mobile Update: New 'Rust' Map, 'Kill Confirmed' Mode & More",2
20,20,The Apple Watch saved my life...,2
21,21,OnePlus 8 Pro gets Oxygen OS 10.5.5 update with fix for green display tint,1
22,22,Dulquer Salmaan apologises for ‘Prabhakara’ joke in ‘Varane Avashyamund’,0
23,23,"Alia Bhatt connects with her girl gang virtually during lockdown, says they are ‘alone together’. See...",4
24,24,Priyadarshan on Hungama 2: Ayushmann Khurrana and Kartik Aaryan refused the film,1
25,25,Shah Rukh Khan’s time away from movies brings lookalike Raju’s life to a standstill,4
26,26,Umar Akmal banned for 3 years from all forms by PCB Disciplinary Panel on corruption charges,2
27,27,‘If you fumble a ball...’: KL Rahul opens up about comparisons with MS Dhoni,1
28,28,'They Become Something Else': Yuvraj Singh Slams Young Cricketers for Trying 'Too Hard' Online,2
29,29,Project Restart: Premier League players briefed on hotel lockdown plan for football to return,1
30,30,"A ‘Potentially Hazardous’ Asteroid Visits, Venus Shines At Its Brightest: The Night Sky This Week",1
31,31,Scientists Have Officially Declared This the Most Dangerous Place on Earth,2
32,32,Largest ozone layer hole over Arctic closed? Here's what we know so far,4
33,33,Scientists Develop First Comprehensive Map of the Moon's Surface,2
34,34,"Coronavirus pandemic | Pune manufacturer plans to price COVID-19 vaccine at Rs 1,000 in India",4
35,35,"Deadlier L Type Coronavirus Strain Could be Behind High Death Rate in Gujarat and Indore, Say Experts",2
36,36,How and when to eat cucumber to lose weight,0
37,37,'Asymptomatic transmission Achilles' heel of COVID-19 strategies',1
38,38,"Coronavirus pandemic | Lockdown will continue post-May 3 in COVID-19 hotspots, PM Modi tells chief ministers",4
39,39,Government mulls proposal to guarantee up to Rs 3 lakh crore bank loans to small businesses: Report,0
