Most Popular Words in Viral Headlines,,,Most Popular Uncommon Words,,Most Popular 2-Word Phrases,,Most Popular 3-Word Phrases,,Most Popular 4-Word Phrases,
,,,,,,,,,,
Words,# of uses,%,Words,# of uses,Phrases,# of uses,Phrases,# of uses,Phrases,# of uses
,,,,,,,,,,
,,,,,,,,,,
the,1066,35%,people,161,this is,114,this is the,22,wait til you see,15
a,866,29%,see,157,in the,93,will make you,20,til you see what,9
this,731,24%,one,144,how to,69,when you see,16,that will make you,9
to,698,23%,make,143,is the,55,til you see,16,will blow your mind,8
you,588,19%,day,133,of the,51,what happens when,15,it looks like a,8
is,501,17%,it’s,133,the most,47,wait til you,15,you need to know,7
of,437,14%,man,120,what this,44,here are the,13,what happened to this,7
in,431,14%,old,111,on the,40,you see what,12,the reason why is,7
and,394,13%,out,108,when you,39,you need to,12,might look like a,7
it,389,13%,dog,107,you see,38,this is what,12,is wha thappens when,7
what,333,11%,guy,106,in a,37,that will make,12,for the first time,7
i,281,9%,new,104,what happened,33,what this guy,11,what he found is,6
for,247,8%,video,104,this guy,33,what happened to,11,this is what happens,6
that,225,7%,things,104,that will,32,like a normal,11,thing i've ever seen,6
how,214,7%,life,102,at the,32,in the world,11,the definitive ranking of,6
are,204,7%,made,101,to be,31,what he did,10,look like a normal,6
your,202,7%,year,100,to the,30,looks like a,10,,
on,192,6%,never,98,the best,30,i've ever seen,10,,
with,175,6%,facebook,97,make you,30,how to make,10,,
but,171,6%,awesome,96,,,blow your mind,10,,
these,161,5%,girl,95,,,,,,
was,135,4%,look,95,,,,,,
from,134,4%,photos,93,,,,,,
just,131,4%,love,92,,,,,,
when,129,4%,know,88,,,,,,
will,128,4%,best,85,,,,,,
his,128,4%,way,82,,,,,,
at,120,4%,thing,82,,,,,,
an,120,4%,beautiful,81,,,,,,
why,118,4%,time,81,,,,,,
see,117,4%,little,81,,,,,,
they,107,4%,more,80,,,,,,
ever,106,4%,first,76,,,,,,
be,106,4%,happened,74,,,,,,
about,106,4%,heart,71,,,,,,
he,105,3%,now,69,,,,,,
like,104,3%,you’ll,68,,,,,,
one,99,3%,being,67,,,,,,
people,97,3%,ways,67,,,,,,
not,97,3%,want,65,,,,,,
did,97,3%,think,64,,,,,,
me,95,3%,something,64,,,,,,
can,95,3%,years,63,,,,,,
so,87,3%,found,62,,,,,,
make,84,3%,better,61,,,,,,
guy,84,3%,seen,60,,,,,,
her,82,3%,baby,60,,,,,,
by,81,3%,really,59,,,,,,
old,80,3%,world,58,,,,,,
man,80,3%,actually,57,,,,,,
day,80,3%,valentine’s,57,,,,,,
most,79,3%,down,57,,,,,,
up,76,3%,reasons,56,,,,,,
their,74,2%,watch,55,,,,,,
my,74,2%,need,54,,,,,,
dog,74,2%,here,52,,,,,,
awesome,74,2%,good,52,,,,,,
who,72,2%,media,52,,,,,,
have,72,2%,makes,52,,,,,,
year,71,2%,boy,52,,,,,,
if,71,2%,mind,51,,,,,,
out,70,2%,right,50,,,,,,
girl,69,2%,social,50,,,,,,
beautiful,69,2%,,,,,,,,
look,68,2%,,,,,,,,
made,66,2%,,,,,,,,
photos,65,2%,,,,,,,,
never,65,2%,,,,,,,,
ll,65,2%,,,,,,,,
as,64,2%,,,,,,,,
all,64,2%,,,,,,,,
life,63,2%,,,,,,,,
happened,62,2%,,,,,,,,
no,61,2%,,,,,,,,
do,61,2%,,,,,,,,
love,60,2%,,,,,,,,
should,58,2%,,,,,,,,
here,58,2%,,,,,,,,
things,57,2%,,,,,,,,
she,57,2%,,,,,,,,
new,57,2%,,,,,,,,
thing,56,2%,,,,,,,,
know,56,2%,,,,,,,,
after,56,2%,,,,,,,,
little,55,2%,,,,,,,,
heart,54,2%,,,,,,,,
facebook,54,2%,,,,,,,,
get,53,2%,,,,,,,,
way,52,2%,,,,,,,,
video,52,2%,,,,,,,,
re,52,2%,,,,,,,,
now,52,2%,,,,,,,,
has,52,2%,,,,,,,,
there,50,2%,,,,,,,,
